procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255840   3332 289936    0    0     0     2  124  260  0  4 96  0  0
 1  0      0 255840   3332 289936    0    0     0     0  110  234  0  2 98  0  0
 0  0      0 255840   3332 289936    0    0     0     0  101  222  1  3 96  0  0
 0  0      0 255840   3332 289936    0    0     0     0  114  249  0  2 98  0  0
 0  0      0 255840   3332 289936    0    0     0     0  103  236  0  2 98  0  0
 0  0      0 255840   3332 289936    0    0     0     0  105  236  0  4 96  0  0
 1  0      0 255840   3332 289936    0    0     0     0  104  225  0  1 99  0  0
 1  0      0 255840   3332 289936    0    0     0     0  105  226  0  4 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 255840   3332 289936    0    0     0     0  110  235  0  2 98  0  0
 0  0      0 255840   3332 289936    0    0     0     0  111  236  0  3 97  0  0
 1  0      0 255840   3332 289936    0    0     0     0  115  232  0  3 97  0  0
 0  0      0 255840   3332 289944    0    0     0     0  106  233  0  3 97  0  0
 0  0      0 255840   3332 289944    0    0     0     0  112  245  0  2 98  0  0
 0  0      0 255840   3332 289944    0    0     0     0  106  239  0  3 97  0  0
 0  0      0 255840   3332 289944    0    0     0     8  125  252  0  2 98  0  0
 0  0      0 255840   3332 289944    0    0     0     0  103  238  0  1 99  0  0
 0  0      0 255840   3332 289944    0    0     0     0  111  241  0  3 97  0  0
 0  0      0 255840   3332 289944    0    0     0     0  111  230  1  3 96  0  0
 0  0      0 255840   3332 289944    0    0     0     0  107  235  0  1 99  0  0
 0  0      0 255840   3332 289944    0    0     0     0  111  235  0  4 96  0  0
 2  0      0 255840   3332 289944    0    0     0     0  111  244  0  3 97  0  0
 2  0      0 255840   3332 289944    0    0     0     0  108  245  0  2 98  0  0
 0  0      0 255840   3332 289944    0    0     0     0  109  248  0  2 98  0  0
 1  0      0 255840   3332 289944    0    0     0     0  108  240  0  3 97  0  0
 4  0      0 255840   3332 289944    0    0     0     0  104  227  0  2 98  0  0
 3  0      0 255840   3332 289944    0    0     0     0  111  228  0  3 97  0  0
 1  0      0 255840   3332 289944    0    0     0     0  111  233  0  2 98  0  0
 1  0      0 255840   3332 289944    0    0     0     0  113  240  0  3 97  0  0
 1  0      0 255840   3332 289944    0    0     0     0  114  240  0  4 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 255840   3332 289944    0    0     0     0  110  249  0  1 99  0  0
 1  0      0 255840   3332 289944    0    0     0     3  107  239  0  3 97  0  0
 1  0      0 255840   3332 289944    0    0     0     0  111  236  0  1 99  0  0
 1  0      0 255840   3332 289944    0    0     0     0  128  257  0  5 95  0  0
 1  0      0 255840   3332 289944    0    0     0     0  123  251  0  2 98  0  0
 2  0      0 255600   3332 289944    0    0     0     0  126  250  0  3 97  0  0
